config,ari,silhouette,davies_bouldin
kmeans_pca_2_k2,0.7488342188975213,0.4517776981551526,0.8123903770832334
kmeans_pca_3_k2,0.7858483872370758,0.37668285698651255,0.9729324896241244
kmeans_pca_opt_k2,0.8760029531698347,0.11077644441290871,2.1494747064708237
kmeans_raw_k2,-0.007217761303740697,0.25703563543553865,1.4620197289267438
hierarchical_pca_2_k2,0.861851109849771,0.4492218421012898,0.7354077499959456
hierarchical_pca_3_k2,0.8755966911182077,0.3768443742742429,0.9096728500111194
hierarchical_pca_opt_k2,0.7240326772265225,0.10543234894035486,2.34138580012265
hierarchical_raw_k2,0.8105126453594849,0.06961092948737736,2.7096288686532155
gmm_pca_2_k2,0.8222496862991271,0.4465041363510619,0.7361943245264857
gmm_pca_3_k2,0.8482862937756128,0.3611136526524291,0.8915733879319268
gmm_pca_opt_k2,0.5882586223574767,0.09673069645393069,2.9753253260721015
