Algorithm,Dimensionality,PCA_ARI,UMAP_ARI,PCA_minus_UMAP
KMeans,2,0.7488342188975213,0.08206664011017784,0.6667675787873435
KMeans,3,0.7858483872370758,0.08606635278068236,0.6997820344563934
KMeans,opt,0.8760029531698347,0.07063473898936867,0.805368214180466
Hierarchical,2,0.861851109849771,0.1263876656668145,0.7354634441829565
Hierarchical,3,0.8755966911182077,0.1215185937472273,0.7540780973709804
Hierarchical,opt,0.7240326772265225,0.01751901087348708,0.7065136663530355
GMM,2,0.8222496862991271,0.06701208751837699,0.7552375987807501
GMM,3,0.8482862937756128,0.07816169019245658,0.7701246035831563
GMM,opt,0.5882586223574767,0.019500074092429702,0.568758548265047
