Unnamed: 0,sample,tissue_type.samples,kmeans_pca_2_k2,kmeans_pca_3_k2,kmeans_raw_k2,hierarchical_pca_2_k2,hierarchical_pca_3_k2,hierarchical_raw_k2,gmm_pca_2_k2,gmm_pca_3_k2,kmeans_pca_opt_k2,hierarchical_pca_opt_k2,gmm_pca_opt_k2
94,TCGA-B2-5639-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
95,TCGA-BP-5178-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
96,TCGA-BP-5178-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
103,TCGA-B8-4621-01A,Tumor,1,1,1,0,0,0,0,1,0,0,1
105,TCGA-B8-5162-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
108,TCGA-CZ-4865-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
109,TCGA-CZ-4865-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
117,TCGA-CJ-4904-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
118,TCGA-CJ-4904-01A,Tumor,1,0,1,0,0,0,0,1,0,0,0
122,TCGA-A3-3358-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
135,TCGA-DV-5576-01A,Tumor,0,0,1,0,0,1,0,1,0,1,1
140,TCGA-BP-5181-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
141,TCGA-BP-5181-01A,Tumor,1,1,1,0,0,0,0,1,0,0,1
142,TCGA-AK-3450-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
145,TCGA-B0-5694-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
150,TCGA-DV-5569-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
156,TCGA-B0-4707-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
157,TCGA-B0-4707-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
158,TCGA-DV-5566-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
159,TCGA-B2-5635-01B,Tumor,0,0,1,0,0,0,0,1,0,0,1
160,TCGA-B2-5635-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
162,TCGA-B0-5698-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
164,TCGA-CW-5584-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
165,TCGA-B0-5108-01A,Tumor,0,0,1,0,0,0,0,1,0,1,1
166,TCGA-B0-5108-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
175,TCGA-B0-4690-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
176,TCGA-B0-4690-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
177,TCGA-CJ-5683-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
186,TCGA-CJ-4905-11A,Normal,1,1,1,1,1,1,1,0,1,1,0
187,TCGA-CJ-4905-01A,Tumor,0,0,1,0,0,0,0,1,0,0,1
188,TCGA-A3-3376-01A,Tumor,0,0,1,0,0,0,0,1,0,1,0
189,TCGA-A3-3376-11A,Normal,1,1,1,0,1,1,0,1,1,1,0
